id,ticker,fundingRate
1,NULSUSDT,-1
2,YFIUSDT,-1
3,ETHUSDT,-1
4,LTCUSDT,-1
5,GASUSDT,-1
6,COMPUSDT,-1
7,CTSIUSDT,-1
8,MBLUSDT,-1
9,CHRUSDT,-1
10,CELRUSDT,-1
11,CTKUSDT,-1
12,HBARUSDT,-1
13,STORJUSDT,-1
14,ENJUSDT,-1
15,OGNUSDT,-1
16,SOLUSDT,-1
17,BANDUSDT,-1
18,BNTUSDT,-1
19,SKLUSDT,-1
20,XRPUSDT,-1
21,STRAXUSDT,-1
22,1INCHUSDT,-1
23,ROSEUSDT,-1
24,DASHUSDT,-1
25,FIOUSDT,-1
26,PIVXUSDT,-1
27,DIAUSDT,-1
28,BIFIUSDT,-1
29,ADAUSDT,-1
30,STXUSDT,-1
31,AVAUSDT,-1
32,ADXUSDT,-1
33,SUSHIUSDT,-1
34,PHAUSDT,-1
35,CELOUSDT,-1
36,KSMUSDT,-1
37,UFTUSDT,-1
38,LINKUSDT,-1
39,BTCUSDT,-1
40,ZENUSDT,-1
41,LSKUSDT,-1
42,DENTUSDT,-1
43,GRTUSDT,-1
44,PONDUSDT,-1
45,CKBUSDT,-1
46,IOTAUSDT,-1
47,STPTUSDT,-1
48,RVNUSDT,-1
49,UMAUSDT,-1
50,QTUMUSDT,-1
51,NKNUSDT,-1
52,BALUSDT,-1
53,EGLDUSDT,-1
54,UNIUSDT,-1
55,TWTUSDT,-1
56,ACMUSDT,-1
57,DUSKUSDT,-1
58,LRCUSDT,-1
59,POWRUSDT,-1
60,IDEXUSDT,-1
61,BATUSDT,-1
62,TRBUSDT,-1
63,ZILUSDT,-1
64,SCUSDT,-1
65,SNTUSDT,-1
66,STEEMUSDT,-1
67,SNXUSDT,-1
68,ELFUSDT,-1
69,HARDUSDT,-1
70,SCRTUSDT,-1
71,BADGERUSDT,-1
72,KMDUSDT,-1
73,ONGUSDT,-1
74,AAVEUSDT,-1
75,MDTUSDT,-1
76,ZRXUSDT,-1
77,PSGUSDT,-1
78,FXSUSDT,-1
79,UTKUSDT,-1
80,SANDUSDT,-1
81,TRUUSDT,-1
82,XLMUSDT,-1
83,FTTUSDT,-1
84,ZECUSDT,-1
85,ATMUSDT,-1
86,ALPHAUSDT,-1
87,XVSUSDT,-1
88,ICXUSDT,-1
89,FIROUSDT,-1
90,FILUSDT,-1
91,ALICEUSDT,-1
92,GLMUSDT,-1
93,RIFUSDT,-1
94,ONTUSDT,-1
95,SYSUSDT,1
96,AUDIOUSDT,1
97,HOTUSDT,1
98,DATAUSDT,1
99,ARPAUSDT,1
100,KNCUSDT,1
101,IQUSDT,1
102,CTXCUSDT,1
103,VETUSDT,1
104,XVGUSDT,1
105,DOGEUSDT,1
106,TROYUSDT,1
107,BCHUSDT,1
108,NEARUSDT,1
109,VIBUSDT,1
110,FISUSDT,1
111,TUSDUSDT,1
112,LUNAUSDT,1
113,BELUSDT,1
114,COSUSDT,1
115,FETUSDT,1
116,VIDTUSDT,1
117,INJUSDT,1
118,JSTUSDT,1
119,RUNEUSDT,1
120,DEXEUSDT,1
121,WBTCUSDT,1
122,DCRUSDT,1
123,PAXGUSDT,1
124,OGUSDT,1
125,BAKEUSDT,1
126,DOTUSDT,1
127,SLPUSDT,1
128,DEGOUSDT,1
129,ARDRUSDT,1
130,TFUELUSDT,1
131,SFPUSDT,1
132,VTHOUSDT,1
133,OMUSDT,1
134,ASRUSDT,1
135,OXTUSDT,1
136,EOSUSDT,1
137,PROSUSDT,1
138,COTIUSDT,1
139,ALGOUSDT,1
140,REQUSDT,1
141,DFUSDT,1
142,HIVEUSDT,1
143,PROMUSDT,1
144,MTLUSDT,1
145,WINUSDT,1
146,MKRUSDT,1
147,AVAXUSDT,1
148,SUNUSDT,1
149,TRXUSDT,1
150,ANKRUSDT,1
151,RSRUSDT,1
152,DGBUSDT,1
153,SXPUSDT,1
154,CREAMUSDT,1
155,XTZUSDT,1
156,CVCUSDT,1
157,EURUSDT,1
158,THETAUSDT,1
159,AXSUSDT,1
160,WANUSDT,1
161,LTOUSDT,1
162,USDCUSDT,1
163,WINGUSDT,1
164,PHBUSDT,1
165,QKCUSDT,1
166,IOTXUSDT,1
167,MANAUSDT,1
168,ONEUSDT,1
169,JUVUSDT,1
170,RLCUSDT,1
171,NEOUSDT,1
172,IOSTUSDT,1
173,FLMUSDT,1
174,ARKUSDT,1
175,AUCTIONUSDT,1
176,CHZUSDT,1
177,CRVUSDT,1
178,CAKEUSDT,1
179,ATOMUSDT,1
180,ETCUSDT,1
181,GHSTUSDT,1
182,BNBUSDT,1
183,KAVAUSDT,1
184,NMRUSDT,1
185,FUNUSDT,1
186,AERGOUSDT,1
187,LINAUSDT,1
188,ASTUSDT,1
189,BURGERUSDT,1
